DATE	TIME	TYPE	FIELD	DISTANCE	PRIZE_1	PRIZE_2	PRIZE_3
8/1/2010	11:00:00	Cup	Synthetic	2000	5000	2000	1000
8/1/2010	12:00:00	Other	Synthetic	1400	5000	2000	1000
8/1/2010	13:00:00	Simple	Synthetic	1400	5000	2000	1000
8/1/2010	14:00:00	Other	Sand	1600	5000	2000	1000
8/1/2010	15:00:00	Simple	Sand	1200	5000	2000	1000
8/1/2010	16:00:00	Other	Synthetic	1800	5000	2000	1000
8/1/2010	17:00:00	Cup	Grass	1800	5000	2000	1000
8/1/2010	18:00:00	Cup	Grass	1600	5000	2000	1000
8/1/2010	19:00:00	Other	Other	1400	5000	2000	1000
8/1/2010	20:00:00	Cup	Grass	1400	5000	2000	1000
15/1/2010	11:00:00	Other	Other	1800	5000	2000	1000
15/1/2010	12:00:00	Simple	Sand	1800	5000	2000	1000
15/1/2010	13:00:00	Other	Synthetic	1800	5000	2000	1000
15/1/2010	14:00:00	Cup	Grass	1800	5000	2000	1000
15/1/2010	15:00:00	Simple	Synthetic	1600	5000	2000	1000
15/1/2010	16:00:00	Simple	Grass	1200	5000	2000	1000
15/1/2010	17:00:00	Other	Other	1200	5000	2000	1000
15/1/2010	18:00:00	Cup	Synthetic	1800	5000	2000	1000
15/1/2010	19:00:00	Simple	Sand	1600	5000	2000	1000
15/1/2010	20:00:00	Other	Synthetic	1200	5000	2000	1000
22/1/2010	11:00:00	Cup	Sand	1400	5000	2000	1000
22/1/2010	12:00:00	Simple	Other	1800	5000	2000	1000
22/1/2010	13:00:00	Simple	Grass	1800	5000	2000	1000
22/1/2010	14:00:00	Simple	Other	1800	5000	2000	1000
22/1/2010	15:00:00	Other	Grass	1400	5000	2000	1000
22/1/2010	16:00:00	Simple	Other	2000	5000	2000	1000
22/1/2010	17:00:00	Other	Synthetic	1800	5000	2000	1000
22/1/2010	18:00:00	Simple	Other	2000	5000	2000	1000
22/1/2010	19:00:00	Other	Sand	2000	5000	2000	1000
22/1/2010	20:00:00	Other	Other	2000	5000	2000	1000
29/1/2010	11:00:00	Simple	Other	2000	5000	2000	1000
29/1/2010	12:00:00	Simple	Sand	1800	5000	2000	1000
29/1/2010	13:00:00	Simple	Synthetic	1600	5000	2000	1000
29/1/2010	14:00:00	Cup	Grass	2000	5000	2000	1000
29/1/2010	15:00:00	Other	Sand	1800	5000	2000	1000
29/1/2010	16:00:00	Other	Other	1400	5000	2000	1000
29/1/2010	17:00:00	Cup	Sand	2000	5000	2000	1000
29/1/2010	18:00:00	Simple	Grass	1600	5000	2000	1000
29/1/2010	19:00:00	Cup	Other	1800	5000	2000	1000
29/1/2010	20:00:00	Other	Synthetic	1800	5000	2000	1000
5/2/2010	11:00:00	Cup	Sand	1800	5000	2000	1000
5/2/2010	12:00:00	Other	Synthetic	2000	5000	2000	1000
