MEETING_DATE	RACE_TIME	HORSE	JOCKEY	TRAINER	START_POS	FINISH_POS
8/1/2010	11:00:00	184	136242	465603	1	2
8/1/2010	11:00:00	245	874845	782336	7	8
8/1/2010	11:00:00	377	719571	859454	3	4
8/1/2010	11:00:00	605	719218	580445	4	5
8/1/2010	11:00:00	608	447300	907587	6	7
8/1/2010	11:00:00	688	658563	931212	8	1
8/1/2010	11:00:00	776	772943	724981	2	3
8/1/2010	11:00:00	839	116886	114366	5	6
8/1/2010	12:00:00	131	602021	229925	3	4
8/1/2010	12:00:00	207	786197	698805	5	6
8/1/2010	12:00:00	672	884937	911477	1	2
8/1/2010	12:00:00	729	296796	121976	8	1
8/1/2010	12:00:00	740	319304	978375	2	3
8/1/2010	12:00:00	872	735781	283978	4	5
8/1/2010	12:00:00	992	572449	547811	7	8
8/1/2010	12:00:00	998	889237	121976	6	7
8/1/2010	13:00:00	231	868404	151200	6	7
8/1/2010	13:00:00	328	320934	850351	3	4
8/1/2010	13:00:00	520	566232	840368	5	6
8/1/2010	13:00:00	590	700982	615135	7	8
8/1/2010	13:00:00	772	750919	554133	4	5
8/1/2010	13:00:00	907	493047	670077	2	3
8/1/2010	13:00:00	1021	907206	978375	1	2
8/1/2010	13:00:00	1072	810167	254734	8	1
8/1/2010	14:00:00	18	148996	682880	3	4
8/1/2010	14:00:00	47	341340	682880	2	3
8/1/2010	14:00:00	202	658563	783531	1	2
8/1/2010	14:00:00	100	957160	730939	6	7
8/1/2010	14:00:00	347	967477	121976	4	5
8/1/2010	14:00:00	540	818483	193578	5	6
8/1/2010	14:00:00	897	446912	799046	7	8
8/1/2010	14:00:00	1038	303998	807669	8	1
8/1/2010	15:00:00	112	861470	261170	4	5
8/1/2010	15:00:00	124	808974	689961	2	3
8/1/2010	15:00:00	225	805858	856366	1	2
8/1/2010	15:00:00	382	838400	406168	8	1
8/1/2010	15:00:00	409	299216	911477	6	7
8/1/2010	15:00:00	557	803614	357060	7	8
8/1/2010	15:00:00	893	116886	240594	3	4
8/1/2010	15:00:00	983	464108	547811	5	6
8/1/2010	16:00:00	50	764538	824587	4	5
8/1/2010	16:00:00	279	575458	539827	5	6
8/1/2010	16:00:00	353	901878	299505	7	8
8/1/2010	16:00:00	388	541607	787143	6	7
8/1/2010	16:00:00	729	719571	242451	3	4
8/1/2010	16:00:00	838	413027	236134	2	3
8/1/2010	16:00:00	870	764538	266989	8	1
8/1/2010	16:00:00	1016	170136	259625	1	2
8/1/2010	17:00:00	11	320934	647001	2	3
8/1/2010	17:00:00	139	517989	214781	5	6
8/1/2010	17:00:00	260	178838	431657	3	4
8/1/2010	17:00:00	377	566232	104125	6	7
8/1/2010	17:00:00	533	303998	341281	8	1
8/1/2010	17:00:00	894	426652	991002	7	8
8/1/2010	17:00:00	1036	895452	928043	4	5
8/1/2010	17:00:00	1100	594594	277644	1	2
8/1/2010	18:00:00	468	362145	567635	2	3
8/1/2010	18:00:00	532	273710	193578	1	2
8/1/2010	18:00:00	719	780773	465603	8	1
8/1/2010	18:00:00	752	810167	802157	6	7
8/1/2010	18:00:00	945	320934	173571	5	6
8/1/2010	18:00:00	953	242898	984187	7	8
8/1/2010	18:00:00	1038	986945	693551	4	5
8/1/2010	18:00:00	1105	747323	496415	3	4
8/1/2010	19:00:00	178	212192	618285	1	2
8/1/2010	19:00:00	188	175953	254734	5	6
8/1/2010	19:00:00	234	948735	726784	8	1
8/1/2010	19:00:00	616	245386	730939	3	4
8/1/2010	19:00:00	731	173454	547811	4	5
8/1/2010	19:00:00	929	954138	155239	6	7
8/1/2010	19:00:00	976	874845	682880	2	3
8/1/2010	19:00:00	1016	597177	530075	7	8
8/1/2010	20:00:00	222	492404	248180	1	2
8/1/2010	20:00:00	243	464108	850941	5	6
8/1/2010	20:00:00	302	567203	660213	8	1
8/1/2010	20:00:00	379	786197	859454	3	4
8/1/2010	20:00:00	782	611891	907587	6	7
8/1/2010	20:00:00	870	747591	402319	4	5
8/1/2010	20:00:00	873	747591	848045	7	8
8/1/2010	20:00:00	946	338616	328199	2	3
15/1/2010	11:00:00	2	212192	431657	6	5
15/1/2010	11:00:00	5	772943	776017	1	8
15/1/2010	11:00:00	6	534717	810862	2	1
15/1/2010	11:00:00	12	630739	455628	8	7
15/1/2010	11:00:00	502	290126	357060	7	6
15/1/2010	11:00:00	563	786197	682880	5	4
15/1/2010	11:00:00	593	839822	896765	3	2
15/1/2010	11:00:00	616	800935	173571	4	3
15/1/2010	12:00:00	22	687620	241875	1	8
15/1/2010	12:00:00	36	167510	472604	8	7
15/1/2010	12:00:00	190	814306	223242	3	2
15/1/2010	12:00:00	364	270790	724981	7	6
15/1/2010	12:00:00	482	183574	709977	4	3
15/1/2010	12:00:00	703	764538	724981	2	1
15/1/2010	12:00:00	958	303998	426665	5	4
15/1/2010	12:00:00	960	118028	537261	6	5
15/1/2010	13:00:00	216	328458	698906	1	8
15/1/2010	13:00:00	432	747323	643694	4	3
15/1/2010	13:00:00	450	114171	799046	6	5
15/1/2010	13:00:00	518	320934	807669	5	4
15/1/2010	13:00:00	666	517989	219621	3	2
15/1/2010	13:00:00	764	805858	705133	7	6
15/1/2010	13:00:00	874	106572	173571	8	7
15/1/2010	13:00:00	948	571194	765741	2	1
15/1/2010	14:00:00	487	426652	169863	5	4
15/1/2010	14:00:00	501	412499	564312	4	3
15/1/2010	14:00:00	676	735781	537261	8	7
15/1/2010	14:00:00	100	214585	834539	6	5
15/1/2010	14:00:00	731	516197	283978	1	8
15/1/2010	14:00:00	831	820223	647001	7	6
15/1/2010	14:00:00	1071	296796	766033	2	1
15/1/2010	14:00:00	1122	630739	907758	3	2
15/1/2010	15:00:00	94	237478	400612	4	3
15/1/2010	15:00:00	106	612043	186798	6	5
15/1/2010	15:00:00	427	803614	761594	3	2
15/1/2010	15:00:00	428	428437	807669	5	4
15/1/2010	15:00:00	674	296796	242451	7	6
15/1/2010	15:00:00	779	803614	229925	2	1
15/1/2010	15:00:00	845	901878	564312	8	7
15/1/2010	15:00:00	1108	814306	564312	1	8
15/1/2010	16:00:00	79	907206	931212	6	5
15/1/2010	16:00:00	200	620911	647001	5	4
15/1/2010	16:00:00	394	750919	465603	1	8
15/1/2010	16:00:00	620	954138	618285	4	3
15/1/2010	16:00:00	736	343873	911477	7	6
15/1/2010	16:00:00	806	677154	968489	3	2
15/1/2010	16:00:00	815	412829	496415	2	1
15/1/2010	16:00:00	1092	407465	288537	8	7
15/1/2010	17:00:00	15	120700	299505	8	7
15/1/2010	17:00:00	246	611891	406168	6	5
15/1/2010	17:00:00	272	114171	710330	3	2
15/1/2010	17:00:00	326	106572	186798	1	8
15/1/2010	17:00:00	344	456715	121976	7	6
15/1/2010	17:00:00	614	719571	186798	5	4
15/1/2010	17:00:00	911	516197	248180	4	3
15/1/2010	17:00:00	1096	114171	988746	2	1
15/1/2010	18:00:00	181	272950	299505	4	3
15/1/2010	18:00:00	239	238724	643694	3	2
15/1/2010	18:00:00	316	242898	455628	7	6
15/1/2010	18:00:00	467	695045	928043	1	8
15/1/2010	18:00:00	506	895452	989464	5	4
15/1/2010	18:00:00	509	789772	283978	6	5
15/1/2010	18:00:00	571	478532	807669	2	1
15/1/2010	18:00:00	1048	254659	151200	8	7
15/1/2010	19:00:00	23	320934	718092	5	4
15/1/2010	19:00:00	105	901878	173571	4	3
15/1/2010	19:00:00	294	786197	405828	7	6
15/1/2010	19:00:00	343	808974	859454	2	1
15/1/2010	19:00:00	617	214013	721000	6	5
15/1/2010	19:00:00	667	780773	643694	3	2
15/1/2010	19:00:00	747	478532	530075	1	8
15/1/2010	19:00:00	914	805858	642314	8	7
15/1/2010	20:00:00	12	343873	547811	6	5
15/1/2010	20:00:00	41	296796	968489	5	4
15/1/2010	20:00:00	109	180808	824587	2	1
15/1/2010	20:00:00	128	861470	351713	1	8
15/1/2010	20:00:00	598	717367	402319	8	7
15/1/2010	20:00:00	631	470111	269418	3	2
15/1/2010	20:00:00	635	861194	357060	7	6
15/1/2010	20:00:00	1047	457667	197858	4	3
22/1/2010	11:00:00	203	242898	509388	7	6
22/1/2010	11:00:00	363	217758	405828	8	7
22/1/2010	11:00:00	414	594594	175514	4	3
22/1/2010	11:00:00	530	724043	341281	1	8
22/1/2010	11:00:00	573	229550	402319	2	1
22/1/2010	11:00:00	728	561648	765741	3	2
22/1/2010	11:00:00	1050	884937	236134	6	5
22/1/2010	11:00:00	1055	948735	266989	5	4
22/1/2010	12:00:00	48	290126	333823	4	3
22/1/2010	12:00:00	130	178838	877436	7	6
22/1/2010	12:00:00	304	948735	440714	6	5
22/1/2010	12:00:00	543	566232	530075	2	1
22/1/2010	12:00:00	558	341340	564312	3	2
22/1/2010	12:00:00	813	958254	710330	8	7
22/1/2010	12:00:00	838	178838	473400	5	4
22/1/2010	12:00:00	977	114171	450417	1	8
22/1/2010	13:00:00	71	299216	799046	1	8
22/1/2010	13:00:00	89	229550	693551	5	4
22/1/2010	13:00:00	144	986732	940415	2	1
22/1/2010	13:00:00	151	196289	455628	8	7
22/1/2010	13:00:00	515	413027	850941	4	3
22/1/2010	13:00:00	581	516197	254734	6	5
22/1/2010	13:00:00	1033	303998	400612	3	2
22/1/2010	13:00:00	1074	772943	647001	7	6
22/1/2010	14:00:00	97	272950	455628	2	1
22/1/2010	14:00:00	198	958254	907758	5	4
