ID	NAME	SEX	COLOR	DATE_OF_BIRTH	WEIGHT	TRAINER	OWNER	BREEDER	FATHER_ID	MOTHER_ID
1	HORSE 1	gelding	Chestnut	31/12/2006	57	402319	735405	490777		
2	HORSE 2	mare	Bay	31/12/2006	57	698906	721416	267173		
3	HORSE 3	gelding	Bay	31/12/2006	57	787143	258101	564001		
4	HORSE 4	mare	Grey	31/12/2006	57	248180	854519	285384		
5	HORSE 5	gelding	Bay	31/12/2006	57	121976	420502	850004		
6	HORSE 6	gelding	Bay	31/12/2006	57	155239	561880	267173		
7	HORSE 7	mare	Bay	31/12/2006	57	748043	481803	937960		
8	HORSE 8	mare	Bay	31/12/2006	57	341281	394723	564001		
9	HORSE 9	stallion	Bay	31/12/2006	57	783531	929096	189435		
10	HORSE 10	gelding	Bay	31/12/2006	57	269418	528423	726271		
11	HORSE 11	stallion	Chestnut	31/12/2006	57	938012	707274	140528		
12	HORSE 12	gelding	Chestnut	31/12/2006	57	212872	520032	310023		
13	HORSE 13	gelding	Bay	31/12/2006	57	269418	954565	575171		
14	HORSE 14	mare	Bay	31/12/2006	57	186043	513414	263050		
15	HORSE 15	gelding	Bay	31/12/2006	57	642314	250163	919877		
16	HORSE 16	stallion	Bay	31/12/2006	57	907758	241616	919683		
17	HORSE 17	gelding	Bay	31/12/2006	57	186043	513414	263050		
18	HORSE 18	stallion	Bay	31/12/2006	57	782336	420502	955819		
19	HORSE 19	stallion	Chestnut	31/12/2006	57	111456	258101	315639		
20	HORSE 20	stallion	Bay	31/12/2006	57	248180	243172	850004		
21	HORSE 21	stallion	Bay	31/12/2006	57	248180	481803	387587		
22	HORSE 22	gelding	Bay	31/12/2006	57	402319	233786	263050		
23	HORSE 23	mare	Chestnut	31/12/2006	57	730939	496517	953421		
24	HORSE 24	stallion	Bay	31/12/2006	57	988746	954565	872641		
25	HORSE 25	gelding	Bay	31/12/2006	57	248180	876916	310023		
26	HORSE 26	gelding	Bay	31/12/2006	57	341281	258101	263050		
27	HORSE 27	stallion	Bay	31/12/2006	57	790516	939115	258536		
28	HORSE 28	gelding	Chestnut	31/12/2006	57	114366	929096	919877		
29	HORSE 29	mare	Bay	31/12/2006	57	790516	520032	285384		
30	HORSE 30	stallion	Bay	31/12/2006	57	642314	925397	432580		
31	HORSE 31	stallion	Chestnut	31/12/2006	57	248180	258101	887289		
32	HORSE 32	gelding	Bay	31/12/2006	57	978375	561880	955819		
33	HORSE 33	gelding	Brown	31/12/2006	57	698805	420502	511969		
34	HORSE 34	gelding	Bay	31/12/2006	57	642314	925397	432580		
35	HORSE 35	gelding	Chestnut	31/12/2006	57	440714	258101	419867		
36	HORSE 36	mare	Grey	31/12/2006	57	212872	274578	693484		
37	HORSE 37	mare	Bay	31/12/2006	57	787143	992432	267173		
38	HORSE 38	gelding	Chestnut	31/12/2006	57	790516	520032	285384		
39	HORSE 39	gelding	Brown	31/12/2006	57	642314	420502	315639		
40	HORSE 40	stallion	Chestnut	31/12/2006	57	642314	925397	432580		
41	HORSE 41	gelding	Bay	31/12/2006	57	787143	992432	267173		
42	HORSE 42	gelding	Bay	31/12/2006	57	341281	446718	689553		
43	HORSE 43	stallion	Bay	31/12/2006	57	111456	684988	310023		
44	HORSE 44	mare	Bay	31/12/2006	57	114366	999598	136592		
45	HORSE 45	mare	Bay	31/12/2006	57	212872	265345	665714		
46	HORSE 46	stallion	Bay	31/12/2006	57	726784	695680	285384		
47	HORSE 47	gelding	Bay	31/12/2006	57	509388	527155	285968		
48	HORSE 48	stallion	Bay	31/12/2006	57	229925	789914	159400		
49	HORSE 49	stallion	Bay	31/12/2006	57	248180	992432	490857		
50	HORSE 50	gelding	Chestnut	31/12/2006	57	212872	520032	310023		
51	HORSE 51	stallion	Chestnut	31/12/2006	57	333823	735405	387587		
52	HORSE 52	gelding	Bay	31/12/2006	57	248180	481803	387587		
53	HORSE 53	gelding	Bay	31/12/2006	57	248180	193263	624569		
